Model,Accuracy,F1
log reg imbalanced,0.7876712328767124,0.03125
log reg undersampled,0.6095890410958904,0.3936170212765958
log reg undersampled weighted,0.708904109589041,0.3884892086330935
log reg oversampled,0.6301369863013698,0.38636363636363635
log reg oversampled weighted,0.6541095890410958,0.38036809815950917
