Model,Accuracy,F1
random forest imbalanced,0.7945205479452054,0.3023255813953488
random forest undersampled,0.5993150684931506,0.38095238095238093
random forest undersampled weighted,0.7636986301369864,0.42016806722689076
random forest oversampled,0.7397260273972602,0.2692307692307692
random forest oversampled weighted,0.797945205479452,0.4485981308411215
